class,0,1,2,3,4,5,6,7,8,9,10
Violin,0.03639391951836194,0.047619961867449066,0.06521031697709888,0.06078833947112899,0.9999999999999996,0.5440763368771799,0.38921213914284586,0.399907652887892,0.06407787716395212,0.0035518686389967476,0.0012228098827724255
Violin,0.05031990240306118,0.03556505018358506,0.029914359107019083,0.06186140958631681,0.9999999999999997,0.5734090390741479,0.4104729558512085,0.38922913953710475,0.040738854498921444,0.002259232583427648,0.0008193959863722206
Violin,0.02972669900505252,0.07946073487865336,0.05241639625569998,0.05339662135271917,1.0,0.5347853787558332,0.4048939680706484,0.4370956511975074,0.029305989149023902,0.00296510916988311,0.0008486652286230036
Violin,0.0335999745573463,0.0444391126694103,0.053448113522758293,0.05660576530934399,1.0,0.5547655153527736,0.38151608862022596,0.3888880557881723,0.04933758204008833,0.00216323728534367,0.0006876632625068647
Violin,0.06363340344211892,0.04582276410708136,0.043289117405928654,0.07375962261308319,1.0,0.5917331040971059,0.5350416539595111,0.3062734339041063,0.0729768208861761,0.00355600790038045,0.0010232337561884427
Violin,0.046130559251559546,0.03650493681328601,0.06472703110515761,0.07003519911560133,0.9999999999999997,0.6086466290311453,0.49571414465282415,0.3421172839463516,0.06486552857588804,0.005019301788837533,0.000777976961444063
Violin,0.0466253191268384,0.07361178867099882,0.04424834552492706,0.06635969233668546,0.9999999999999998,0.5779063436034878,0.45094997032247713,0.3854830994544745,0.07206518936292133,0.0036610153345965827,0.0009401229503197364
Violin,0.048840653927060024,0.05817473558616446,0.06424163074674948,0.06288191127008967,0.9999999999999997,0.5673923590338382,0.3871661688135688,0.403996607213664,0.060675196050512976,0.0027544997058378713,0.0009630132944930636
Violin,0.04649751180772139,0.032809157548471204,0.02602297737207017,0.05940373832515775,0.9999999999999998,0.5398115351985797,0.3998269622003749,0.39648186950680636,0.031865580430260554,0.0018264353961077776,0.0007355862947038216
Violin,0.0410092843743448,0.054805979706100016,0.04124804856137666,0.05598364882874163,1.0,0.5072493565097257,0.46083944742930427,0.39819188548761847,0.03922092211047881,0.0021831564130672864,0.0008634825247211481
Violin,0.015559329666038464,0.026604053599008044,0.02628730825931205,0.05098986681645366,1.0,0.5672511233644421,0.4240912288825024,0.36345813367738666,0.060684250331023,0.0024121323120715084,0.0011428003564763981
Violin,0.03915300584214511,0.01608631036733769,0.03959202971341832,0.05202788792341918,1.0,0.5711540812335509,0.5016348247648016,0.35876742106072707,0.08123378630157771,0.0033282032738901676,0.0011873642600081285
Violin,0.029502139017687425,0.025221060159642348,0.044122938808948395,0.055521979920028205,0.9999999999999998,0.585295458545029,0.4533466067460135,0.37158098187930017,0.07078592201032467,0.004284874359460327,0.0009959233900033186
Violin,0.054206916834498776,0.05133345420441681,0.03950849724308728,0.05940821643227382,0.9999999999999993,0.5638785749526856,0.43928628654946045,0.3729515979574349,0.07220930462012876,0.00341390708075198,0.0011718982671324047
Violin,0.04652309411455604,0.05776918336743983,0.0509413732192813,0.058707252472127526,0.9999999999999998,0.5834316109694455,0.4045492278336775,0.3878737302699578,0.05253552508926721,0.003365047617163811,0.0008232301780359338
Violin,0.04360122340984452,0.02614518842971999,0.0536919856582339,0.06949200442075888,0.9999999999999997,0.538516363375218,0.4064316100016022,0.41111850455995785,0.02471926528698959,0.0025849378883303696,0.000781416155151694
Violin,0.01855378327509313,0.026666911006711633,0.10210937050808339,0.033112836387177144,0.6351882838576244,0.19498630160097905,1.0,0.13769113409150052,0.03461900896093136,0.004678573925937182,0.0008200398617658302
Violin,0.02495476004323143,0.03111083752522359,0.040150428318909685,0.018511498023168402,1.0,0.0777184247531669,0.8861548013823562,0.1540339110585108,0.028892009230489887,0.0027641245340441307,0.0007296985932287587
Violin,0.035013632072687914,0.043760095160043956,0.045022276033371667,0.02451597930739106,0.806282825752493,0.229426085391904,1.0,0.29047752680642774,0.0859378146262768,0.005094647141860103,0.001168537358889317
Violin,0.023126056723462574,0.02295606411459482,0.05113977800973512,0.022305670599971322,0.9801891691963294,0.10740063610245797,0.9999999999999997,0.42420325146011556,0.13739701521474634,0.006799653261506318,0.0007384614485883266
Violin,0.004918934022645578,0.01542356111942892,0.023063516995956376,0.0163959925387972,0.8951181335067515,0.12295892894702035,0.9999999999999998,0.3466912729819983,0.12337493742937164,0.004472907903307862,0.0007567752993431566
